"id","code","name"
l10n_pe_table_22_01,01,SUPERINTENDENCIA DEL MERCADO DE VALORES - SECTOR DIVERSAS - INDIVIDUAL
l10n_pe_table_22_02,02,SUPERINTENDENCIA DEL MERCADO DE VALORES - SECTOR SEGUROS - INDIVIDUAL
l10n_pe_table_22_03,03,SUPERINTENDENCIA DEL MERCADO DE VALORES - SECTOR BANCOS Y FINANCIERAS - INDIVIDUAL
l10n_pe_table_22_04,04,SUPERINTENDENCIA DEL MERCADO DE VALORES - ADMINISTRADORAS DE FONDOS DE PENSIONES (AFP)
l10n_pe_table_22_05,05,SUPERINTENDENCIA DEL MERCADO DE VALORES - AGENTES DE INTERMEDIACIÓN
l10n_pe_table_22_06,06,SUPERINTENDENCIA DEL MERCADO DE VALORES - FONDOS DE INVERSIÓN
l10n_pe_table_22_07,07,SUPERINTENDENCIA DEL MERCADO DE VALORES - PATRIMONIO EN FIDEICOMISOS
l10n_pe_table_22_08,08,SUPERINTENDENCIA DEL MERCADO DE VALORES - ICLV
l10n_pe_table_22_09,09,OTROS NO CONSIDERADOS EN LOS ANTERIORES
